时间戳,温湿度传感器ID,位置,温度,湿度,PM2.5,预警状态
2025-04-06 00:00:00,SENS001,生产区B,25.0,65.8,34.5,正常
2025-04-06 00:00:00,SENS002,生产区A,25.1,66.3,13.4,正常
2025-04-06 00:00:00,SENS003,生产区A,25.3,60.8,39.9,PM2.5超标
2025-04-06 00:00:00,SENS004,质检区,24.1,61.8,31.3,正常
2025-04-06 00:00:00,SENS005,生产区A,24.5,69.6,32.8,正常
2025-04-06 00:00:00,SENS006,质检区,24.9,67.2,39.3,PM2.5超标
2025-04-06 00:00:00,SENS007,质检区,23.2,69.0,34.5,正常
2025-04-06 00:00:00,SENS008,生产区B,23.6,65.8,41.6,PM2.5超标
2025-04-06 01:00:00,SENS001,生产区B,23.3,60.9,26.6,正常
2025-04-06 01:00:00,SENS002,生产区A,26.7,67.0,44.4,PM2.5超标
2025-04-06 01:00:00,SENS003,生产区A,27.6,65.3,25.7,正常
2025-04-06 01:00:00,SENS004,质检区,22.0,64.3,38.6,PM2.5超标
2025-04-06 01:00:00,SENS005,生产区A,27.6,63.6,17.0,正常
2025-04-06 01:00:00,SENS006,质检区,24.2,60.6,33.7,正常
2025-04-06 01:00:00,SENS007,质检区,22.4,65.5,38.0,PM2.5超标
2025-04-06 01:00:00,SENS008,生产区B,24.1,66.9,33.9,正常
2025-04-06 02:00:00,SENS001,生产区B,26.0,61.3,27.9,正常
2025-04-06 02:00:00,SENS002,生产区A,25.7,67.1,47.1,PM2.5超标
2025-04-06 02:00:00,SENS003,生产区A,28.0,64.7,12.4,正常
2025-04-06 02:00:00,SENS004,质检区,24.0,67.5,36.2,PM2.5超标
2025-04-06 02:00:00,SENS005,生产区A,27.5,66.1,46.5,PM2.5超标
2025-04-06 02:00:00,SENS006,质检区,24.2,59.8,48.6,PM2.5超标
2025-04-06 02:00:00,SENS007,质检区,25.9,61.6,41.3,PM2.5超标
2025-04-06 02:00:00,SENS008,生产区B,24.0,60.4,48.2,PM2.5超标
2025-04-06 03:00:00,SENS001,生产区B,25.8,62.4,26.8,正常
2025-04-06 03:00:00,SENS002,生产区A,29.3,66.6,44.1,温度偏高|PM2.5超标
2025-04-06 03:00:00,SENS003,生产区A,26.9,59.8,34.5,正常
2025-04-06 03:00:00,SENS004,质检区,23.6,64.6,19.7,正常
2025-04-06 03:00:00,SENS005,生产区A,27.6,61.6,12.6,正常
2025-04-06 03:00:00,SENS006,质检区,25.2,62.3,47.9,PM2.5超标
2025-04-06 03:00:00,SENS007,质检区,23.8,64.7,11.9,正常
2025-04-06 03:00:00,SENS008,生产区B,24.2,62.5,39.2,PM2.5超标
2025-04-06 04:00:00,SENS001,生产区B,24.7,55.1,44.2,PM2.5超标
2025-04-06 04:00:00,SENS002,生产区A,28.4,64.2,18.2,温度偏高
2025-04-06 04:00:00,SENS003,生产区A,28.6,63.5,22.8,温度偏高
2025-04-06 04:00:00,SENS004,质检区,23.9,64.8,17.1,正常
2025-04-06 04:00:00,SENS005,生产区A,28.5,57.2,13.2,温度偏高
2025-04-06 04:00:00,SENS006,质检区,25.1,60.8,12.0,正常
2025-04-06 04:00:00,SENS007,质检区,23.7,62.9,45.1,PM2.5超标
2025-04-06 04:00:00,SENS008,生产区B,25.0,59.8,40.1,PM2.5超标
2025-04-06 05:00:00,SENS001,生产区B,25.1,54.3,41.9,PM2.5超标
2025-04-06 05:00:00,SENS002,生产区A,27.0,58.5,17.0,正常
