device_id,timestamp,status,availability,performance,quality,oee,teep,utilization,downtime
CNC001,2025-05-06 22:19:14,运行中,65.60,81.50,87.60,46.80,43.00,73.70,21.70
CNC001,2025-05-06 22:19:14,运行中,76.60,82.20,91.90,57.90,52.90,73.80,28.90
CNC001,2025-05-06 22:19:14,运行中,73.50,80.20,90.90,53.60,48.60,89.30,67.40
CNC001,2025-05-06 22:19:14,运行中,67.40,77.70,89.40,46.80,40.00,81.10,45.60
CNC001,2025-05-06 22:19:14,运行中,69.00,83.60,91.90,53.00,46.60,75.50,15.20
CNC002,2025-05-06 22:19:14,运行中,78.20,87.40,90.60,61.90,54.10,70.90,68.30
CNC002,2025-05-06 22:19:14,运行中,78.70,87.00,90.90,62.20,55.00,89.70,14.40
CNC002,2025-05-06 22:19:14,运行中,67.30,87.40,87.40,51.40,47.40,94.90,46.10
CNC002,2025-05-06 22:19:14,运行中,74.50,84.10,89.10,55.80,51.30,86.20,55.00
CNC002,2025-05-06 22:19:14,运行中,77.80,84.00,89.00,58.20,46.70,77.60,48.40
CNC003,2025-05-06 22:19:14,维护,74.60,89.30,87.70,58.40,52.50,74.40,79.40
CNC003,2025-05-06 22:19:14,运行中,71.60,89.00,89.70,57.20,47.20,79.20,27.50
CNC003,2025-05-06 22:19:14,运行中,72.50,83.80,89.60,54.40,47.70,75.90,59.10
CNC003,2025-05-06 22:19:14,运行中,83.50,86.50,93.20,67.30,59.20,74.20,32.70
CNC003,2025-05-06 22:19:14,运行中,82.10,83.60,88.50,60.70,49.80,86.50,50.10
CNC004,2025-05-06 22:19:14,运行中,81.20,83.60,89.60,60.80,57.10,90.20,10.20
CNC004,2025-05-06 22:19:14,运行中,80.90,90.00,93.20,67.90,60.70,83.30,46.30
CNC004,2025-05-06 22:19:14,维护,74.80,84.70,90.40,57.30,49.80,72.70,62.40
CNC004,2025-05-06 22:19:14,运行中,84.00,86.10,93.50,67.60,54.40,85.90,62.20
CNC004,2025-05-06 22:19:14,运行中,75.80,87.90,91.80,61.20,50.60,71.80,38.50
CNC005,2025-05-06 22:19:14,运行中,72.00,83.80,88.70,53.50,44.70,93.80,56.30
CNC005,2025-05-06 22:19:14,运行中,62.90,82.90,91.20,47.60,44.20,78.40,16.60
CNC005,2025-05-06 22:19:14,维护,62.20,79.50,91.00,45.00,36.20,84.10,25.50
CNC005,2025-05-06 22:19:14,运行中,63.60,82.10,88.80,46.40,41.60,78.70,58.40
CNC005,2025-05-06 22:19:14,维护,71.80,80.40,90.70,52.40,48.40,82.40,54.30
CNC001,2025-05-06 22:19:14,停机,68.10,81.90,88.10,49.10,39.90,86.10,16.50
CNC002,2025-05-06 22:19:14,运行中,72.30,88.40,89.30,57.10,52.20,93.30,57.30
CNC003,2025-05-06 22:19:14,运行中,75.10,84.50,91.90,58.30,50.50,87.50,71.20
CNC004,2025-05-06 22:19:14,维护,75.50,82.10,92.50,57.30,51.10,90.80,77.50
CNC005,2025-05-06 22:19:14,维护,61.00,80.60,89.00,43.80,40.60,84.20,27.20
CNC001,2025-05-06 22:20:13,运行中,70.50,80.60,86.30,49.00,42.00,77.50,31.20
CNC003,2025-05-06 22:20:13,运行中,72.90,82.00,92.40,55.20,49.60,81.60,23.10
CNC004,2025-05-06 22:20:13,运行中,76.40,82.40,94.40,59.40,52.80,72.10,25.40
CNC005,2025-05-06 22:20:13,运行中,73.70,81.10,89.60,53.60,49.50,75.70,53.80
CNC001,2025-05-06 22:20:14,运行中,69.50,81.20,90.00,50.80,44.50,80.60,9.90
CNC002,2025-05-06 22:20:14,运行中,78.20,84.80,91.30,60.50,51.00,82.90,75.80
CNC003,2025-05-06 22:20:14,运行中,75.80,84.50,92.40,59.20,51.50,82.90,53.60
CNC004,2025-05-06 22:20:14,运行中,74.20,88.20,94.30,61.70,53.80,82.50,36.00
CNC005,2025-05-06 22:20:14,运行中,70.20,82.20,87.10,50.30,41.40,85.30,46.40
