时间戳,设备ID,设备状态,总运行时间,故障持续时间,故障次数,振动值,温度,维护到期时间,上次维护时间,预警状态
2025-04-06 00:00:00,CNC001,待机,0.0,0.0,0,0.3,29.0,2025-04-23,2025-03-27,正常
2025-04-06 01:00:00,CNC001,运行中,1.0,0.0,0,0.4,20.7,2025-04-23,2025-03-27,正常
2025-04-06 02:00:00,CNC001,待机,1.0,0.0,0,0.17,26.5,2025-04-23,2025-03-27,正常
2025-04-06 03:00:00,CNC001,运行中,2.0,0.0,0,0.36,20.5,2025-04-23,2025-03-27,正常
2025-04-06 04:00:00,CNC001,运行中,3.0,0.0,0,0.48,21.8,2025-04-23,2025-03-27,正常
2025-04-06 05:00:00,CNC001,运行中,4.0,0.0,0,0.28,26.4,2025-04-23,2025-03-27,正常
2025-04-06 06:00:00,CNC001,运行中,5.0,0.0,0,0.39,27.2,2025-04-23,2025-03-27,正常
2025-04-06 07:00:00,CNC001,运行中,6.0,0.0,0,0.46,25.7,2025-04-23,2025-03-27,正常
2025-04-06 00:00:00,CNC002,待机,0.0,0.0,0,0.29,29.6,2025-04-23,2025-03-27,正常
2025-04-06 01:00:00,CNC002,运行中,1.0,0.0,0,0.36,23.4,2025-04-23,2025-03-27,正常
2025-04-06 02:00:00,CNC002,运行中,2.0,0.0,0,0.14,22.0,2025-04-23,2025-03-27,正常
2025-04-06 03:00:00,CNC002,运行中,3.0,0.0,0,0.38,33.2,2025-04-23,2025-03-27,正常
2025-04-06 04:00:00,CNC002,运行中,4.0,0.0,0,0.12,26.5,2025-04-23,2025-03-27,正常
2025-04-06 05:00:00,CNC002,待机,4.0,0.0,0,0.27,30.8,2025-04-23,2025-03-27,正常
2025-04-06 06:00:00,CNC002,运行中,5.0,0.0,0,0.46,28.6,2025-04-23,2025-03-27,正常
2025-04-06 07:00:00,CNC002,运行中,6.0,0.0,0,0.4,26.4,2025-04-23,2025-03-27,正常
2025-04-06 00:00:00,CNC003,待机,0.0,0.0,0,0.33,22.7,2025-04-27,2025-03-29,正常
2025-04-06 01:00:00,CNC003,运行中,1.0,0.0,0,0.2,24.7,2025-04-27,2025-03-29,正常
2025-04-06 02:00:00,CNC003,运行中,2.0,0.0,0,0.49,22.7,2025-04-27,2025-03-29,正常
2025-04-06 03:00:00,CNC003,待机,2.0,0.0,0,0.26,20.2,2025-04-27,2025-03-29,正常
2025-04-06 04:00:00,CNC003,运行中,3.0,0.0,0,0.49,24.6,2025-04-27,2025-03-29,正常
2025-04-06 05:00:00,CNC003,运行中,4.0,0.0,0,0.22,29.9,2025-04-27,2025-03-29,正常
2025-04-06 06:00:00,CNC003,故障,4.0,1.0,1,0.42,34.580000000000005,2025-04-27,2025-03-29,正常
2025-04-06 07:00:00,CNC003,运行中,5.0,0.0,1,0.34,32.8,2025-04-27,2025-03-29,正常
2025-04-06 00:00:00,CNC004,运行中,1.0,0.0,0,0.33,33.6,2025-04-22,2025-03-25,正常
2025-04-06 01:00:00,CNC004,运行中,2.0,0.0,0,0.36,27.9,2025-04-22,2025-03-25,正常
2025-04-06 02:00:00,CNC004,运行中,3.0,0.0,0,0.4,22.7,2025-04-22,2025-03-25,正常
2025-04-06 03:00:00,CNC004,待机,3.0,0.0,0,0.19,32.6,2025-04-22,2025-03-25,正常
2025-04-06 04:00:00,CNC004,待机,3.0,0.0,0,0.11,32.8,2025-04-22,2025-03-25,正常
2025-04-06 05:00:00,CNC004,运行中,4.0,0.0,0,0.5,21.3,2025-04-22,2025-03-25,正常
2025-04-06 06:00:00,CNC004,运行中,5.0,0.0,0,0.29,26.6,2025-04-22,2025-03-25,正常
2025-04-06 07:00:00,CNC004,运行中,6.0,0.0,0,0.23,21.2,2025-04-22,2025-03-25,正常
2025-04-06 00:00:00,CNC005,运行中,1.0,0.0,0,0.11,20.3,2025-04-21,2025-04-01,正常
2025-04-06 01:00:00,CNC005,运行中,2.0,0.0,0,0.19,28.8,2025-04-21,2025-04-01,正常
2025-04-06 02:00:00,CNC005,运行中,3.0,0.0,0,0.11,23.4,2025-04-21,2025-04-01,正常
2025-04-06 03:00:00,CNC005,运行中,4.0,0.0,0,0.3,20.8,2025-04-21,2025-04-01,正常
2025-04-06 04:00:00,CNC005,运行中,5.0,0.0,0,0.47,30.9,2025-04-21,2025-04-01,正常
2025-04-06 05:00:00,CNC005,运行中,6.0,0.0,0,0.36,20.7,2025-04-21,2025-04-01,正常
2025-04-06 06:00:00,CNC005,运行中,7.0,0.0,0,0.49,23.1,2025-04-21,2025-04-01,正常
2025-04-06 07:00:00,CNC005,运行中,8.0,0.0,0,0.25,33.3,2025-04-21,2025-04-01,正常
2025-04-06 08:00:00,CNC001,运行中,7.0,0.0,0,0.11,27.7,2025-04-23,2025-03-27,正常
2025-04-06 09:00:00,CNC001,运行中,8.0,0.0,0,0.13,33.5,2025-04-23,2025-03-27,正常
2025-04-06 10:00:00,CNC001,运行中,9.0,0.0,0,0.48,28.7,2025-04-23,2025-03-27,正常
2025-04-06 11:00:00,CNC001,运行中,10.0,0.0,0,0.26,29.5,2025-04-23,2025-03-27,正常
2025-04-06 12:00:00,CNC001,运行中,11.0,0.0,0,0.46,33.5,2025-04-23,2025-03-27,正常
2025-04-06 13:00:00,CNC001,运行中,12.0,0.0,0,0.5,21.5,2025-04-23,2025-03-27,正常
2025-04-06 14:00:00,CNC001,运行中,13.0,0.0,0,0.23,32.6,2025-04-23,2025-03-27,正常
2025-04-06 15:00:00,CNC001,运行中,14.0,0.0,0,0.1,22.4,2025-04-23,2025-03-27,正常
2025-04-06 08:00:00,CNC002,运行中,7.0,0.0,0,0.27,34.3,2025-04-23,2025-03-27,正常
2025-04-06 09:00:00,CNC002,待机,7.0,0.0,0,0.11,26.7,2025-04-23,2025-03-27,正常
2025-04-06 10:00:00,CNC002,运行中,8.0,0.0,0,0.35,24.9,2025-04-23,2025-03-27,正常
2025-04-06 11:00:00,CNC002,运行中,9.0,0.0,0,0.21,22.3,2025-04-23,2025-03-27,正常
