时间戳,工号,班次,操作时长,熟练度,操作类型,操作结果,上次培训日期,预警状态
2025-04-06 04:33:07.788169,W001,夜班,0.87,0.58,质检,正常,2025-02-04,效率低下
2025-04-06 06:53:00.640600,W001,白班,1.83,0.61,上料,正常,2025-02-04,效率低下
2025-04-06 03:32:45.926503,W001,夜班,1.2,0.59,维护,正常,2025-02-04,效率低下
2025-04-06 02:44:59.142394,W002,夜班,1.79,0.72,上料,正常,2025-02-28,效率低下
2025-04-06 00:02:52.340272,W002,夜班,0.87,0.8,下料,正常,2025-02-28,正常
2025-04-06 01:20:54.724466,W002,夜班,1.71,0.76,上料,正常,2025-02-28,正常
2025-04-06 06:41:41.067009,W003,白班,0.69,0.6,质检,正常,2024-10-21,效率低下|需要培训
2025-04-06 06:08:21.429877,W003,白班,0.71,0.61,质检,正常,2024-10-21,效率低下|需要培训
2025-04-06 00:41:57.511630,W004,夜班,1.6,0.69,下料,正常,2025-02-03,效率低下
2025-04-06 04:57:00.778054,W004,夜班,1.62,0.58,调试,正常,2025-02-03,效率低下
2025-04-06 04:02:58.890495,W004,夜班,1.95,0.6,下料,正常,2025-02-03,效率低下
2025-04-06 03:42:47.081891,W005,夜班,0.63,0.78,下料,正常,2025-02-07,正常
2025-04-06 02:58:19.586520,W005,夜班,1.6,0.79,维护,正常,2025-02-07,正常
2025-04-06 01:14:32.325675,W005,夜班,0.93,0.81,质检,正常,2025-02-07,正常
2025-04-06 03:52:55.467347,W005,夜班,1.92,0.78,调试,正常,2025-02-07,正常
2025-04-06 07:40:52.717259,W006,白班,1.89,0.71,质检,异常,2024-12-29,效率低下|需要培训
2025-04-06 04:23:18.895556,W006,夜班,1.48,0.68,维护,正常,2024-12-29,效率低下|需要培训
2025-04-06 04:07:16.545566,W007,夜班,0.88,0.65,调试,正常,2025-02-27,效率低下
2025-04-06 00:14:38.077987,W007,夜班,1.95,0.74,维护,正常,2025-02-27,效率低下
2025-04-06 00:20:14.665540,W007,夜班,1.59,0.74,上料,正常,2025-02-27,效率低下
2025-04-06 03:45:57.663207,W008,夜班,0.56,0.62,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 00:33:08.492936,W008,夜班,1.34,0.66,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 00:38:51.647614,W008,夜班,1.63,0.66,上料,正常,2024-11-12,效率低下|需要培训
2025-04-06 03:47:34.299188,W008,夜班,0.63,0.62,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 04:47:08.194711,W009,夜班,1.93,0.68,维护,正常,2024-12-05,效率低下|需要培训
2025-04-06 01:30:14.983168,W009,夜班,0.73,0.74,下料,正常,2024-12-05,效率低下|需要培训
2025-04-06 04:43:03.548684,W010,夜班,1.69,0.76,调试,正常,2024-12-14,需要培训
2025-04-06 03:54:43.158539,W010,夜班,1.18,0.77,调试,正常,2024-12-14,需要培训
2025-04-06 08:06:50.355775,W001,白班,1.94,0.71,调试,正常,2025-02-04,效率低下
2025-04-06 14:14:33.416381,W001,白班,0.51,0.62,下料,正常,2025-02-04,效率低下
2025-04-06 14:19:52.930792,W001,白班,1.08,0.62,上料,正常,2025-02-04,效率低下
2025-04-06 15:08:47.151056,W001,白班,0.85,0.61,质检,正常,2025-02-04,效率低下
2025-04-06 09:46:24.585142,W002,白班,1.89,0.83,质检,正常,2025-02-28,正常
2025-04-06 08:46:20.458891,W002,白班,1.66,0.87,下料,正常,2025-02-28,正常
2025-04-06 12:37:35.955828,W002,白班,1.61,0.74,调试,正常,2025-02-28,效率低下
2025-04-06 08:43:02.004705,W003,白班,1.41,0.69,上料,正常,2024-10-21,效率低下|需要培训
2025-04-06 15:31:29.764517,W003,白班,1.81,0.58,调试,正常,2024-10-21,效率低下|需要培训
2025-04-06 13:23:20.948349,W003,白班,1.34,0.62,维护,正常,2024-10-21,效率低下|需要培训
2025-04-06 12:48:33.905234,W004,白班,1.45,0.65,下料,正常,2025-02-03,效率低下
2025-04-06 15:08:34.459448,W004,白班,1.89,0.59,调试,正常,2025-02-03,效率低下
2025-04-06 11:19:08.646642,W004,白班,1.8,0.69,调试,正常,2025-02-03,效率低下
2025-04-06 08:48:08.889228,W004,白班,0.52,0.76,下料,正常,2025-02-03,正常
2025-04-06 08:29:02.614425,W005,白班,1.59,0.91,上料,正常,2025-02-07,正常
2025-04-06 08:52:09.505510,W005,白班,1.36,0.9,质检,正常,2025-02-07,正常
2025-04-06 13:25:57.300822,W005,白班,0.74,0.85,质检,正常,2025-02-07,正常
2025-04-06 12:32:40.655309,W006,白班,1.2,0.75,质检,正常,2024-12-29,需要培训
2025-04-06 13:39:22.903574,W006,白班,1.68,0.74,上料,正常,2024-12-29,效率低下|需要培训
2025-04-06 14:35:24.470839,W007,白班,1.92,0.65,调试,正常,2025-02-27,效率低下
2025-04-06 08:29:36.674909,W007,白班,1.41,0.82,调试,正常,2025-02-27,正常
2025-04-06 12:58:33.537938,W008,白班,1.09,0.68,上料,正常,2024-11-12,效率低下|需要培训
2025-04-06 10:43:21.121965,W008,白班,0.55,0.7,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 13:59:42.390164,W008,白班,1.04,0.66,质检,正常,2024-11-12,效率低下|需要培训
2025-04-06 14:33:00.167401,W008,白班,0.89,0.66,调试,正常,2024-11-12,效率低下|需要培训
2025-04-06 11:07:41.302152,W009,白班,1.47,0.79,下料,正常,2024-12-05,需要培训
2025-04-06 13:54:00.665802,W009,白班,0.67,0.74,调试,正常,2024-12-05,效率低下|需要培训
2025-04-06 08:48:14.835605,W009,白班,0.94,0.84,上料,正常,2024-12-05,需要培训
2025-04-06 11:09:27.248639,W010,白班,1.63,0.87,上料,正常,2024-12-14,需要培训
2025-04-06 13:34:35.464199,W010,白班,1.46,0.83,维护,正常,2024-12-14,需要培训
2025-04-06 08:30:37.184841,W010,白班,1.43,0.9,上料,正常,2024-12-14,需要培训
2025-04-06 23:41:04.814511,W001,夜班,0.59,0.54,质检,正常,2025-02-04,效率低下
2025-04-06 17:24:25.674523,W001,白班,1.1,0.69,下料,正常,2025-02-04,效率低下
2025-04-06 20:52:14.681988,W001,夜班,1.65,0.58,上料,正常,2025-02-04,效率低下
2025-04-06 19:08:07.403901,W001,夜班,1.42,0.6,质检,正常,2025-02-04,效率低下
2025-04-06 21:49:38.113357,W002,夜班,1.4,0.63,维护,正常,2025-02-28,效率低下
2025-04-06 20:36:26.621750,W002,夜班,0.64,0.67,维护,正常,2025-02-28,效率低下
2025-04-06 23:50:52.385882,W002,夜班,1.05,0.57,质检,异常,2025-02-28,效率低下
2025-04-06 18:26:46.086782,W002,夜班,1.03,0.73,质检,正常,2025-02-28,效率低下
2025-04-06 21:02:02.790135,W003,夜班,1.53,0.56,上料,正常,2024-10-21,效率低下|需要培训
2025-04-06 21:04:45.658821,W003,夜班,1.41,0.56,维护,正常,2024-10-21,效率低下|需要培训
2025-04-06 17:44:30.684641,W003,白班,0.64,0.68,上料,正常,2024-10-21,效率低下|需要培训
2025-04-06 20:08:03.084915,W004,夜班,1.71,0.6,上料,正常,2025-02-03,效率低下
2025-04-06 19:45:49.998106,W004,夜班,1.98,0.61,维护,正常,2025-02-03,效率低下
2025-04-06 17:33:00.543151,W005,白班,1.57,0.9,质检,正常,2025-02-07,正常
2025-04-06 18:39:56.279024,W005,夜班,1.48,0.79,调试,正常,2025-02-07,正常
2025-04-06 17:06:53.029609,W005,白班,1.71,0.9,下料,正常,2025-02-07,正常
2025-04-06 17:45:29.110047,W005,白班,0.71,0.89,下料,正常,2025-02-07,正常
2025-04-06 16:56:49.350005,W006,白班,0.69,0.8,调试,正常,2024-12-29,需要培训
